D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_39_930.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_39_930.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_39_930.jpg,0,0,0,6.918739E-06
D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_40_054.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_40_054.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_40_054.jpg,0,0,0,4.589882E-06
D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_40_182.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_40_182.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_40_182.jpg,0,0,0,1.567161E-05
D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_40_313.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_40_313.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_40_313.jpg,0,0,0,1.115645E-05
D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_40_439.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_40_439.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_40_439.jpg,0,0,0,2.155454E-05
D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_40_567.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_40_567.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_40_567.jpg,0,0,0,9.920389E-06
D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_40_696.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_40_696.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_40_696.jpg,0,0,0,1.539943E-05
D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_40_825.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_40_825.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_40_825.jpg,0,0,0,3.493157E-06
D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_40_953.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_40_953.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_40_953.jpg,0,0,0,3.241035E-06
D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_41_038.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_41_038.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_41_038.jpg,0,0.2151555,0,0.1434077
D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\center_2021_12_31_15_46_41_124.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\left_2021_12_31_15_46_41_124.jpg,D:\books\5th Semester\HM 322\term1-simulator-windows\IMG\right_2021_12_31_15_46_41_124.jpg,0,0.5037597,0,0.7357445
